timestamp,sensor,voltage,adc_value
2026-01-17 12:00:00,temperature,2.3064395544375165,471
2026-01-17 12:00:00,light,2.969467011544855,607
2026-01-17 12:00:00,moisture,2.6032606382054517,532
2026-01-17 12:00:02,temperature,2.3355194111792263,477
2026-01-17 12:00:04,temperature,2.863523545265398,585
2026-01-17 12:00:05,light,3.7257877278362113,762
2026-01-17 12:00:06,temperature,2.4256237559202525,496
2026-01-17 12:00:08,temperature,3.772978424691341,771
2026-01-17 12:00:10,temperature,3.1372694409049866,641
2026-01-17 12:00:10,light,0.651270676743933,133
2026-01-17 12:00:12,temperature,2.9125868966030923,595
2026-01-17 12:00:14,temperature,3.5605699103285464,728
2026-01-17 12:00:15,light,4.240239463073007,867
2026-01-17 12:00:16,temperature,3.516988023506456,719
2026-01-17 12:00:18,temperature,3.8442912073788023,786
2026-01-17 12:00:20,temperature,2.1940947618081976,448
2026-01-17 12:00:20,light,3.321900408812715,679
2026-01-17 12:00:22,temperature,3.9640312496783245,811
2026-01-17 12:00:24,temperature,2.102764857711059,430
2026-01-17 12:00:25,light,1.9749289200969378,404
2026-01-17 12:00:26,temperature,2.985613151439396,610
2026-01-17 12:00:28,temperature,3.741689953902001,765
2026-01-17 12:00:30,temperature,2.1410931747994164,438
2026-01-17 12:00:30,light,4.811194566503902,984
2026-01-17 12:00:32,temperature,2.430548629257821,497
2026-01-17 12:00:34,temperature,2.5880120799403112,529
2026-01-17 12:00:35,light,1.2491292846009632,255
2026-01-17 12:00:36,temperature,2.537249774083185,519
2026-01-17 12:00:38,temperature,3.8530790017938767,788
2026-01-17 12:00:40,light,2.975044062027437,608
2026-01-17 12:00:40,temperature,3.7171878784461985,760
2026-01-17 12:00:42,temperature,2.4546577617037504,502
2026-01-17 12:00:44,temperature,3.3780265726286407,691
2026-01-17 12:00:45,light,4.560241857812552,933
2026-01-17 12:00:46,temperature,2.069602814596645,423
2026-01-17 12:00:48,temperature,2.910701081946576,595
2026-01-17 12:00:50,temperature,2.2451498724657943,459
2026-01-17 12:00:50,light,0.16476699810149098,33
2026-01-17 12:00:52,temperature,2.3967152290181115,490
2026-01-17 12:00:54,temperature,2.7901295815034186,570
2026-01-17 12:00:55,light,1.5662874481821958,320
2026-01-17 12:00:56,temperature,2.351091506077626,481
2026-01-17 12:00:58,temperature,2.518095248559363,515
2026-01-17 12:01:00,light,1.9344713128228885,395
2026-01-17 12:01:00,temperature,2.3601773353384092,482
2026-01-17 12:01:02,temperature,2.213831769665637,452
2026-01-17 12:01:04,temperature,3.5974639400062545,736
2026-01-17 12:01:05,light,0.39459903862053836,80
2026-01-17 12:01:06,temperature,3.0767299521462514,629
2026-01-17 12:01:08,temperature,2.0744162559866446,424
2026-01-17 12:01:10,light,3.895062985012214,796
2026-01-17 12:01:10,temperature,2.5748349808123283,526
2026-01-17 12:01:12,temperature,2.015940520301774,412
2026-01-17 12:01:14,temperature,3.7421095847937305,765
2026-01-17 12:01:15,light,1.4831786212516462,303
2026-01-17 12:01:16,temperature,3.8655067905588663,790
2026-01-17 12:01:18,temperature,3.635042041410341,743
2026-01-17 12:01:20,light,4.763122655019211,974
2026-01-17 12:01:20,temperature,3.625303652301119,741
2026-01-17 12:01:22,temperature,3.0421730741890776,622
2026-01-17 12:01:24,temperature,3.0305973593744353,620
2026-01-17 12:01:25,light,1.4008961368938433,286
2026-01-17 12:01:26,temperature,3.8113231926774427,779
2026-01-17 12:01:28,temperature,3.4836850410119453,712
2026-01-17 12:01:30,light,1.6176251675857585,330
2026-01-17 12:01:30,temperature,3.9813466136708167,814
2026-01-17 12:01:32,temperature,2.853707741548358,583
2026-01-17 12:01:34,temperature,2.8954019823790267,592
2026-01-17 12:01:35,light,3.0003992181021397,613
2026-01-17 12:01:36,temperature,2.6871803275628885,549
2026-01-17 12:01:38,temperature,3.739308255019445,765
2026-01-17 12:01:40,light,1.0617640416866703,217
2026-01-17 12:01:40,temperature,3.688579097685902,754
2026-01-17 12:01:42,temperature,2.4445608453833447,500
2026-01-17 12:01:44,temperature,3.8307527438563485,783
2026-01-17 12:01:45,light,2.499399546199264,511
2026-01-17 12:01:46,temperature,2.8267019987751327,578
2026-01-17 12:01:48,temperature,3.169456690282792,648
2026-01-17 12:01:50,temperature,3.914219923895466,800
2026-01-17 12:01:50,light,3.5077047463155493,717
