timestamp,sensor,voltage,adc_value
2026-01-17 03:00:00,temperature,3.278949538879461,670
2026-01-17 03:00:00,light,4.4549920569035955,911
2026-01-17 03:00:00,moisture,2.768023609671959,566
2026-01-17 03:00:02,temperature,2.0681573928797397,423
2026-01-17 03:00:04,temperature,2.645222827907495,541
2026-01-17 03:00:05,light,0.45965043264828476,94
2026-01-17 03:00:06,temperature,3.5223770376485195,720
2026-01-17 03:00:08,temperature,3.9232495470603466,802
2026-01-17 03:00:10,temperature,3.9755582631733617,813
2026-01-17 03:00:10,light,4.294437642674123,878
2026-01-17 03:00:12,temperature,2.1867809462031222,447
2026-01-17 03:00:14,temperature,3.4962277037606784,715
2026-01-17 03:00:15,light,4.448100691184301,910
2026-01-17 03:00:16,temperature,2.413328056046965,493
2026-01-17 03:00:18,temperature,3.478894559223861,711
2026-01-17 03:00:20,temperature,3.1668479321688814,647
2026-01-17 03:00:20,light,4.494488407201382,919
2026-01-17 03:00:22,temperature,2.196598693456883,449
2026-01-17 03:00:24,temperature,2.663803156369612,545
2026-01-17 03:00:25,light,0.9205227396943422,188
2026-01-17 03:00:26,temperature,3.57257879823979,730
2026-01-17 03:00:28,temperature,2.4534937732655484,501
2026-01-17 03:00:30,temperature,3.9891221249565216,816
2026-01-17 03:00:30,light,0.6871405513484585,140
2026-01-17 03:00:32,temperature,3.9013319985652792,798
2026-01-17 03:00:34,temperature,3.5974979200139137,736
2026-01-17 03:00:35,light,3.321014650677994,679
2026-01-17 03:00:36,temperature,3.093542767245809,632
2026-01-17 03:00:38,temperature,2.070094551001472,423
2026-01-17 03:00:40,light,4.777347951178678,977
2026-01-17 03:00:40,temperature,3.5240909454954483,721
2026-01-17 03:00:42,temperature,2.1669719744884564,443
2026-01-17 03:00:44,temperature,2.5290643816922023,517
2026-01-17 03:00:45,light,3.3174035529756463,678
2026-01-17 03:00:46,temperature,3.424931101938605,700
2026-01-17 03:00:48,temperature,3.474685252666295,710
2026-01-17 03:00:50,temperature,3.02275892154929,618
2026-01-17 03:00:50,light,1.4836612216418072,303
2026-01-17 03:00:52,temperature,3.1064089916742814,635
2026-01-17 03:00:54,temperature,2.4318779744794545,497
2026-01-17 03:00:55,light,3.7419071825185988,765
2026-01-17 03:00:56,temperature,3.7832175552213982,774
2026-01-17 03:00:58,temperature,2.314585560852298,473
2026-01-17 03:01:00,light,1.4106822604227283,288
2026-01-17 03:01:00,temperature,3.570086141840611,730
2026-01-17 03:01:02,temperature,2.53153477517375,517
2026-01-17 03:01:04,temperature,3.228886075903553,660
2026-01-17 03:01:05,light,1.027005925019819,210
2026-01-17 03:01:06,temperature,3.0589750605083066,625
2026-01-17 03:01:08,temperature,2.673857005748632,547
